,회사,공고제목,주소,경력,기술
0,큐이디(QED),BackEnd Senior Engineer,서울 서초구,경력 7-9년,"Back, EndSeniorEngineer], 관련경력7년이상이신분, AWSLambda개발및운영가능하신분, node.js,SpringBoot를이용하여서비스개발가능하신분, DynamoDB,MySQL,Redis,MongoDB사용가능하신분, 클라우드설계및운영에대한경험이있으신분"
0,아템드메라키,정량적 연구자/모델러,서울,경력 1-10년,"통계학,응용수학,경영관리,경제학,컴퓨터공학,물리학또는관련학문을기반한탁월한정량적기술을보유하신분•최소데이터과학,통계,컴퓨터공학또는관련분야의학사학위를보유하신분•투자연구기능실무경험이있으신분우대•투자연구기능실무경험이있으신분우대•파이썬,자바등의통계프로그래밍기술,SQL,Spark등의데이터관리및통찰력,리눅스바탕으로하는정량적연구에서사용되는컴퓨터기술에대한이해도가높으신분•투자관리업계에서사용할수있는데이터에대한높은이해도를갖고있으며,데이터를관리하고접근하여연구활동을지원하실수있는분•디지털자산산업과관련된경력을보유하고계시거나디지털자산산업을배우려는열정을갖고경력을쌓아가실분"
0,에쓰오씨소프트,시스템 운영 및 유지보수 Java 개발자,경기 수원시,경력 5-10년,"경력:5년이상개발경력직•학력:초대졸이상•Java/JSP이용한웹프로그램가능자•SpringBoot2.X를이용한Back, end개발가능자•DB:PostgreSQL등DBMS를다뤄본경험보유자•Linux(RedHat)운영체제사용가능자•수원지역근무가능자•이력서상희망연봉기재필수"
0,크래프톤(Krafton),[BATTLEGROUNDS] Anti-Cheat 엔지니어,서울 서초구,신입-경력 10년,/C++개발능력윈도우시스템프로그래밍능력Windows운영체제에대한높은이해도치트개발자를괴롭히는일을즐기는분
0,크래프톤(Krafton),[KRAFTON JUNGLE] SW인재양성 프로그램 Senior Coach,서울 강남구,경력 10-30년,"런경험을가진분과함께성장하고싶습니다!(필수요건), ComputerScience전공자혹은Software개발등관련전문분야근무경험10년이상, 교육생들에게알고리즘및OS(시스템)등기술레벨의학습지도가가능한분, 다양한사람과의소통하며세대를아우르는커뮤니케이션이가능한분, 주니어개발자육성에관심이많은분, 변화되는SW환경에대한학습능력을보유한분, 해외여행에결격사유가없는분제출서류, 입사지원서(자유양식),자기소개서(필수),경력기술서,포트폴리오(필요시), 자기소개서는코치포지션에대한이해와지원동기를포함하여작성해주시기바랍니다."
0,우리엔,반려동물 Windows Application 개발자,경기 화성시,경력 6-10년,6년이상개발경력(상용화된원도우어플리케이션제작경험)•SQL데이터베이스연동프로그램개발경험
0,온블록,Smart Contract Engineer (Golang),서울 강남구,경력 3-10년,"3년이상의Golang개발경력혹은이에준하는실력을보유하신분•1년이상의블록체인또는Solidity관련현업개발경력을보유하신분•RESTAPI/gRPC활용서비스개발경험이있으신분•기술적성장에관심이많고새로운기술을적용하는데두려움이없으신분•혼자보다,팀과함께소통하면서개발하는문화를선호하시는분•높은책임감과주도적으로문제를해결하고자하는태도를가지신분•영문문서를기반으로기술습득및활용가능하신분"
0,알지티,모바일 로봇 제어 SW 개발자 (navigation),서울 금천구,경력 3-20년,"관련경력3년이상ㆍ실내Navigation분야상용화제품개발경력자(저널논문도가능)ㆍGlobalpathalgorithm개발경력자(A*등등)ㆍLocalpathplanning개발경력자(DWA,RRT,등등)ㆍROS,C++,python개발능통ㆍ탁월한의사소통및대인관계기술을바탕으로팀중심환경에서작업할수있는능력ㆍ비즈니스회화능력ㆍGit경험자"
0,타이로스코프,프론트엔드 엔지니어(React Native),울산 중구,경력 1-4년,"React, Native및Typescript실무개발경력최소2년이상•Redux,MobX등을사용한상태관리경험•Git을이용한형상관리경험"
0,패스트뷰,[100억↑투자] 인프라 엔지니어 (3년이상),서울 강남구,경력 3-8년,"AWS기반인프라설계및운영경험을보유하신분(최소3년이상)•bitnami워드프레스(또는php기반웹서비스)운영경험보유자•스크립트코딩역량보유(Shellscript,Python등)"
0,에이에프아이,백엔드 엔지니어 (7년 이상),서울 성동구,경력 7-30년,C++TCP/UDP소켓서버프로그래밍경력이7년이상이신분이필요합니다.•멀티쓰레드처리/프로그래밍능력을보유하신분이필요합니다.
0,하고엘앤에프,HAGO 플랫폼 IT 개발자,경기 성남시,경력 7-10년,"필요기술역량:css,scss,javascript,php/Laravel,mySql,redis이상역량보유및개발유경력자"
