,회사,공고제목,주소,경력,기술
0,블루닷,딥러닝 알고리즘 엔지니어,서울 강남구,경력 3-12년,"3년이상(박사신입급가능)•컴퓨터비전/머신러닝/딥러닝지식보유및관련프로젝트수행경험자•영상처리관련프로젝트수행경험자(Superresolution,Denoising,Deblurring,Coloradjustment등)•딥러닝프레임워크(e.g.Pytorch,Tensorflow등)개발가능자격요건중에한두가지부족하지만,노력으로충분히캐치업할수있는자신이있다면망설이지말고지원해주세요!"
0,플라잉캣,시니어 프론트엔드 개발자,서울 강남구,경력 5-10년,"Angular15+,Typescript(＞5.0),ES8+기반개발경험을보유하신분•SCSS기반Theming구현경험•TestCoverage관리경험•원활한커뮤니케이션이가능하신분•기획문서를만족시키는개발이아니라비즈니스를이해하고개발하시는분•좋은UI/UX에대해높은가치를두는태도를가지신분"
0,클러스터지원그룹,[신입] 서버 시스템 관리자,경기 군포시,신입,전산관련학과졸업또는AWS공인자격증보유자
0,와인루트,시니어 백엔드 개발자,서울 서초구,경력 4-9년,5년이상의소프트웨어개발경력혹은그에준하는경험이있는분•AWS기반개발경험이있는분•RDBMS/NoSql스키마설계및데이터관리경험이있는분•서비스품질향상을위한CI/CD및트러블슈팅경험이있는분•언더엔지니어링과오버엔지니어링을이해하고적정목표수준에대한논의가가능한분•다양한직군의동료와적극적으로의사소통이가능한분
0,모라이(MORAI),SW Engineer,서울 강남구,경력 5-20년,"중급이상의MATLAB/Simulink가능하신분•중급이상의Python가능하신분•중급이상의C/C++Code개발및분석능력을보유하신분•소프트웨어개발및구축에대한이해와지식보유하신분•5년이상의SW개발경력이있으신분•컴퓨터,소프트웨어,기계,자동차,메카트로닉스공학등4년제이공계관련전공자"
0,아템드메라키,[신입] 소프트웨어 엔지니어,서울,신입,"최소컴퓨터공학,응용수학또는다른기술분야의학사학위를보유하신분(박사및박사과정지원자우대)•numpy,scipy,scikit, learn등의기술을활용한프로그래밍에능숙한분•과학적계산과알고리즘개발경험이있으신분•파이썬등의프로그래밍언어에대한지식이있으신분•디지털자산의많은데이터를분석하는회사특성상,디지털자산경력이필수는아니지만디지털자산시장을배우고자하는열정은반드시필요합니다."
0,블루닷,코덱 엔지니어 (화질분석) (신입),서울 강남구,경력 2-12년,"전자,컴퓨터공학학사이상•C,Python프로그래밍능력•비디오압축혹은영상처리에관심이있으신분자격요건중에한두가지부족하지만,노력으로충분히캐치업할수있는자신이있다면망설이지말고지원해주세요!"
0,애딥랩,"백엔드 개발자(C#, Java, Python, Hack)",서울 서초구,경력 5-10년,"학력:대졸이상•5년이상의C#/Go/Java/Python/Hack언어기반개발경험과역량을보유하신분•자료구조,알고리즘,데이터베이스,분산처리등컴퓨터공학의기초지식을보유하신분•웹어플리케이션개발및운영리딩경험이있으신분•주도적인문제해결능력을보유하고새로운기술도입에거부감이없으신분•원활한커뮤니케이션역량을토대로다양한직군의동료와협업을즐기시는분"
0,아인잡(AINJOB),"[기업부설연구소] 자사 웹/앱 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",서울 강남구,경력 7-17년,"학력:학사이상(4년)Computer공학,혹은Software공학혹은관련학과학사•경력:web/app개발경력7년이상•Java로web서비스platform개발경험5년이상•Dataarchitecture/API설계/framework구축경험•RDBMS논리적설계/물리적설계/구현/운영•프로그램logic개발경험•결재기능,filtermatching기능•유사서비스의서버를개발및관리해본경험•맡은업무에대한오너십을갖고,목표를달성하는열정이있는분•B2C상용서비스플랫폼을개발경험이있는분•AWS개발,배포,서버운영경험3년이상"
0,무신사,Senior DevOps Engineer (무신사페이먼츠),서울 성동구,경력 7-12년,"7년이상혹은그에준하는인프라시스템운영경험이있으신분(개발경력이있는경우포함)•Java,Go,Python,Node.js등최소한가지이상의개발언어사용이가능하신분•SiteReliabilityEngineering에대한이해가있으신분•LinuxOS및네트워크에대한기본적인이해"
0,와인루트,시니어 프론트엔드 개발자,서울 서초구,경력 4-8년,"5년이상의프론트엔드웹개발경력또는그에준하는경험•React,Typescript기반의서비스를2년이상개발및개선해본경험•JavascriptCore에대한이해•SPA및SSR개발/운영경험•Production환경에서지속적인서비스개선및운영경험•아키텍쳐설계및제안,코드리뷰,테스트등품질향상을위해적극적인분"
0,예스이십사(예스24),정보보호담당,서울 영등포구,경력 2-5년,"초/대졸경력3년이상•ISMS, P인증심사관련지식보유자"
0,라이언로켓,테크 리드,서울 중구,경력 5-10년,".IT스타트업5년이상의프론트엔드혹은백엔드개발경험이있으신분, HTML,CSS,TypeScript등웹기술에대한전문성이있으신분, 주요프론트엔드프레임워크(React,Vue,Svelte,...etc)에대한이해와경험이있으신분, Remix,Nextjs와같은서버사이드렌더링(SSR)에대한이해및사용경험이있으신분, 웹표준,반응형디자인,크로스브라우저지원등에대한이해및경험이있으신분, Python및Fastapi프레임워크를활용한개발경험이있으신분, 코드품질개선을위한구조설계,코드테스트,코드커버리지관리에적극적이신분, 대용량트래픽처리를위한DB설계,운영경험이있으신분, AI기반의서비스개발경험이있으신분2.IT스타트업에서테크리드경험이있으시거나그에준하는실력을갖추신분, 어려운문제를도전적인해결책을활용해풀어내는일을즐기시는분, 다양한직군의팀원들과원활한협업이가능하신분, 최신개발프로세스에대한경험(Git,CI/CD,코드리뷰등)이있으신분, 개발문화형성및팀원의성장에적극적으로기여하시고자하는분(기술스택), React,Remix,Typescript,react, query,zustand,pnpm, Python,Fastapi,django,AWS"
