,회사,공고제목,주소,경력,기술
0,트루라이트코리아,개발 팀장,서울 강남구,경력 10-15년,"개발팀리더급(팀장),개발실무10년~15년•플랫폼서비스개발/운영경험필수•백엔드서버&웹개발및운영경력10년이상•개발팀리딩경험•팀인력운영및기술관련이슈해결에능동적인분•내/외조직및인력과커뮤니케이션이원활하신분•팀리더및프로젝트리더의경험이있으신분•해외개발자와영어로커뮤니케이션가능한분•Jira,Confluence,Figma기반프로젝트관리경험보유•Git과GitFlow능숙자"
0,웰로,백엔드 시니어 개발자 (5년~15년 이하),서울 관악구,경력 5-10년,"5년이상혹은그에준하는백엔드개발경험•Java/SpringBoot에대한높은이해를가지신분•RDB설계및SQL쿼리작성이능숙하신분•RESTAPI시스템설계및개발이능숙하신분•JPA/Hibernate등ORM기반객체모델링및실무사용경험이있으신분[기술스택], 언어:Java, 프레임워크:Springboot, DB:Mysql,Redis,DynamoDB, ORM:JPA,QueryDsl, 클라우드:AWS, CI/CD:Jenkins, 협업툴:Swagger,Git(GitFlow),Notion,Slack,Asana,Figma, Observability:WhaTap"
0,발란(BALAAN),프론트엔드 엔지니어 (발란몰),서울 강남구,경력 5-15년,"5년이상프론트엔드서비스를구축하고운영한경험이있으신분•Javascript(Typescript)기반으로서비스구축경험이있으신분•React,Vue.js중하나이상의SPA프레임워크활용이가능하신분•SSR프레임워크(Next.js,Nuxt.js)를활용한서비스구축&운영경험이있으신분•HTML,CSS,Javascript의이해가깊으신분•웹포트폴리오제출(프로젝트별역할및참여율필수기재)[기술스택]•발란몰, 프론트:plaincss&jquery,ejs, 백엔드:Node.js14,MongoDB,Redis,MariaDB,AWSS3•백오피스:Node.js14,Vue.js,Bootstrap, Vue,Nuxt.js,MongoDB,Redis,MariaDB,AWSS3•검색엔진:Elasticsearch•분석:GoogleAnalytics•코드관리:Github,BitBucket•IDE:WebStorm,PHPStorm,IntellijIDEA,PyCharm•Tools:NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman•커뮤니케이션:Slack,Notion,Confluence,Jira,서비스데스크•모니터링:CloudWatch,Opsnow,자체모니터링툴"
0,스페클립스,중급 풀스택 개발자,경기 성남시,경력 4-7년,"공학계열전공자(컴퓨터공학,수학,통계학등)•Backend프레임워크활용및개발경력4년이상~7년이하•JAVA언어로작성한SpringBoot기반웹어플리케이션개발경력2년이상•Frontend, framework(VUE,REACT등)프레임워크를이용한개발이익숙하신분•AWS클라우드환경경험자/Git등형상관리시스템사용경험자＜기술스택＞VUE,JAVA,SpringBoot,Git,Docker,JWT,mariaDB,AWS,swift"
0,넷스루,프론트엔드 개발자 (5년 이상),서울 성동구,경력 5-15년,React기반개발경험•RESTfulAPI설계및개발경험•경력5년이상~
0,제로더,웹개발자 (Tech Lead 급),서울 성북구,경력 5-8년,".기술스택•Java/javascript언어에능숙하신분•리눅스(ubuntu)환경능숙하신분•WEB/WAS에대한이해도가높으신분•기본적인DB구조에대한이해가있으신분2.아키택처스택•Springboot경험이있으신분(aop,jpa등사용가능하신분)•서비스운영시HA/클러스터링등의개념을이해하고적용할수있는분•Restful이해및이를활용한msa구조를이해하시는분"
0,모라이(MORAI),Backend Engineer,서울 강남구,경력 5-10년,"2년이상웹개발및서비스경험(부트캠프,개인프로젝트제외)•네트워크(보안,TCP/ICP기본이해도)기초지식•간단한스크립트제작능력이있으신분"
0,아일로,백엔드 웹/앱 개발자,서울 마포구,경력 3-5년,"Node.js개발경력3년차이상혹은그에준하는실력을증명할수있으신분•코드리뷰,단위테스트,지속적인통합및배포(CI/CD)등의개발프로세스경험이있으신분•확장성과성능을고려한아키텍처를설계하실수있는분•아래의프레임워크/라이브러리를경험하였거나개념을이해하고있으신분, Node.js, express/koa/fastify/nest.js, mongoDB4.x/mongooseorm•아래의개념에대해이해하고계신분, RESTfulAPI, 데이터베이스이론전반, Unit/Integration/E2ETesting, VPC등클라우드인프라관련기초지식"
0,플루고코리아,[100억↑투자] DevOps Engineer (3년 이상),서울 강남구,경력 3-10년,"DevOps개발3년이상의경력포함총5년이상의개발경력이있는분•DevOps및SRE의원칙과관행을숙지한분•AWS클라우드서비스,AWSEKS,CDK및ArgoCD경험이있는분•Kubernetes환경에서마이크로서비스운영및개선한경험이있는분•비즈니스레벨의영어커뮤니케이션이가능한분"
0,와이즈버즈(wisebirds),백엔드 개발자 (팀장급/6년 이상),경기 성남시,경력 6-9년,"유관경력6년이상혹은이에준하는경력과실력을갖추신분•Java/KotlinSpringFramework사용경험자•RESTfulAPI설계및개발경험이있으신분•RDBMS,NoSQL를활용한개발/운영경험"
